"","id","title"
"81","REF_TOTAL_ODF","Total official development flows by country and region (ODF)"
"82","TABLE_II2","Table II.2. Targeted statutory corporate income tax rate"
"83","INSIND","Insurance indicators"
"84","AEO11_INDEPTH_CHAPTER6_TAB2_EN","Table 6.2: Shares of traditional and emerging partners in Africa’s imports, exports and total trade, 2000 and 2009 (in percentage)"
"85","EO79_MAIN","Economic Outlook No 79 - June 2006 - Annual Projections for OECD Countries"
"86","7II_INDIC","Institutional investors indicators - archived"
"87","PATS_COOP","International co-operation in patents"
"88","LFS_D","LFS by sex and age"
"89","PATS_IPC","Patents by technology"
"90","SNA_TABLE12","12. Government deficit/surplus, revenue, expenditure and main aggregates"
"91","MSTI_PUB","Main Science and Technology Indicators"
"92","DUR_I","Incidence of unemployment by duration"
"93","DUR_D","Unemployment by duration"
"94","FTPTC_D","FTPT employment based on a common definition"
"95","FTPTC_I","Incidence of FTPT employment - common definition"
"96","LFS_SEXAGE_I_C","LFS by  sex and age - composition"
"97","EO80_MAIN","Economic Outlook No 80 - December 2006 - Annual Projections for OECD Countries"
"98","SOCX_AGG","Social Expenditure - Aggregated data"
"99","LFS_SEXAGE_I_R","LFS by sex and age - indicators"
"100","TEMP_D","Employment by permanency of the job"
"101","TEMP_I","Incidence of permanent employment"
"102","TABLE_III1","Table III.1. Employee social security contribution rates"
"103","INVPT_D","Involuntary part time workers"
"104","INVPT_I","Incidence of involuntary part time workers"
"105","ECONSH_I","Incidence of economic short time workers"
"106","REFSERIES_MSIT","Exchange rates"
"107","MEI_FIN","Monthly Monetary and Financial Statistics (MEI)"
"108","TABLE_I2","Table I.2. Sub-central personal income tax rates-non-progressive systems"
"109","TSEC2","II: TEC by Top enterprises"
"110","ALFS_SUMTAB","ALFS Summary tables"
"111","TSEC4","IV: TEC by number of partner countries"
"112","PPPGDP","Purchasing Power Parities for GDP and related indicators"
"113","TENURE_DIS","Employment by job tenure intervals - persons"
"114","ECONSH_D","Economic short time workers"
"115","TOURISM_KEY_IND_PC","Key tourism indicators"
"116","AEO11_OVERVIEW_CHAPTER1_FIG1_EN","Figure 1.1: Africa´s economic growth "
"117","AEO11_OVERVIEW_CHAPTER1_FIG2_EN","Figure 1.2: Assessment of Africa's current economic situation and expectations for the next six months"
"118","PROFSVC","Professional Services 2013."
"119","STAN","STAN Database for Structural Analysis ed2005"
"120","TABLE5","Aid (ODA) by sector and donor [DAC5]"
"121","AEO11_OVERVIEW_CHAPTER1_FIG3_EN","Figure 1.3: Terms of trade in selected resource-rich countries "
"122","TABLE1","Total flows by donor (ODA+OOF+Private) [DAC1]"
"123","AEO11_OVERVIEW_CHAPTER1_FIG4_EN","Figure 1.4: Terms of trade in selected resource-poor countries"
"124","RETAIL","Regulation in retail trade 2013."
"125","TISX","TIS Extra Series"
"126","DP_STAGING_TEST","Staging Cube - Test"
"127","ANBERD_REV2","ANBERD: business enterprise R&D by industry (ISIC Rev. 2)"
"128","AEO11_OVERVIEW_CHAPTER1_FIG5_EN","Figure 1.5: Migrant remittances to Africa"
"129","CALCULATED","Calculated variables"
"130","REV","Revenue Statistics - OECD countries: Comparative tables"
"131","TABLE3A","Aid (ODA) commitments to countries and regions [DAC3a]"
"132","NAAG","National Accounts at a Glance"
"133","PPP2005","2005 PPP Benchmark results"
"134","TABLE7B","Aid (ODA) tying status [DAC7b]"
"135","QNA_ARCHIVE","QNA – Archive before 2019 benchmark revisions"
"136","MEI_ARCHIVE","Revisions Analysis Dataset – Infra-annual Economic Indicators"
"137","INDICE_OECD","Volume, unit value and price index - OECD base year"
"138","AEO11_OVERVIEW_CHAPTER1_FIG6_EN","Figure 1.6: World economic growth"
"139","MEI_TRD","Monthly International Merchandise Trade (IMTS) – Headline Series"
"140","AEO11_OVERVIEW_CHAPTER1_FIG16_EN","Figure 1.7: Contributions of regions to Africa's growth"
"141","AEO11_OVERVIEW_CHAPTER1_FIG7_EN","Figure 1.10: Oil price and gold price (base January 2000 = 100 )"
"142","AEO11_OVERVIEW_CHAPTER1_FIG8_EN","Figure 1.11: Copper and aluminium prices (base January 2000 = 100)"
"143","AEO11_OVERVIEW_CHAPTER1_FIG9_EN","Figure 1.12: Export prices of agricultural products (base January 2000 = 100)"
"144","AVE_HRS","Average usual weekly hours worked on the main job"
"145","AEO11_OVERVIEW_CHAPTER1_FIG10_EN","Figure 1.13: Import prices of basic foodstuffs (base January 2000 = 100)"
"146","QASA_7HH","Households' financial assets and liabilities"
"147","ENVPERFINDIC_TAD_2008","Environmental Performance of Agriculture 2008"
"148","PAT_COL_RATES","Patents - International collaboration in technology development (rates)"
"149","EO79_TRADE","Economic Outlook No 79 - June 2006 - Annual Trade and Payments Projections"
"150","ULC_QUA","Quarterly benchmarked Unit Labour Cost indicators – By economic activity"
"151","PDYGTH","Labour productivity growth in the total economy"
"152","NONTAX","[Discontinued] Non-tax revenue and grants"
"153","MEM4","Social security contributions and payroll taxes paid by government"
"154","MEMTAX","Financing of social security benefits"
"155","RDTAX","R&D tax expenditure and direct government funding of BERD"
"156","SSIS_BSC","SDBS Structural Business Statistics (ISIC Rev. 3)"
"157","AVD_DUR","Average duration of unemployment"
"158","LEVEL","Labour productivity levels in the total economy"
"159","REVAUT","Details of Tax Revenue - Austria"
"160","DECOMP","Breakdown of Gross Domestic Product per capita in its components"
"161","DP_STAGING","Staging Cube"
"162","EAR_MEI","Hourly Earnings (MEI)"
"163","TIVA2015_C3","Trade in Value Added (TiVA) - Origin of value added in final demand"
"164","METR","Effective tax rate on increasing working hours"
"165","REVAUS","Details of Tax Revenue - Australia"
"166","REVBEL","Details of Tax Revenue - Belgium"
"167","REVCAN","Details of Tax Revenue - Canada"
"168","REVCHE","Details of Tax Revenue - Switzerland"
"169","REVCZE","Details of Tax Revenue - Czech Republic"
"170","REVDEU","Details of Tax Revenue - Germany"
"171","REVDNK","Details of Tax Revenue - Denmark"
"172","REVGBR","Details of Tax Revenue - United Kingdom"
"173","REVGRC","Details of Tax Revenue - Greece"
"174","REVHUN","Details of Tax Revenue - Hungary"
"175","REVESP","Details of Tax Revenue - Spain"
"176","REVFIN","Details of Tax Revenue - Finland"
"177","REVFRA","Details of Tax Revenue - France"
"178","REVIRL","Details of Tax Revenue - Ireland"
"179","REVISL","Details of Tax Revenue - Iceland"
"180","REVITA","Details of Tax Revenue - Italy"
"181","REVJPN","Details of Tax Revenue - Japan"
"182","REVKOR","Details of Tax Revenue - Korea"
"183","REVLUX","Details of Tax Revenue - Luxembourg"
"184","REVMEX","Details of Tax Revenue - Mexico"
"185","REVNLD","Details of Tax Revenue - Netherlands"
"186","REVNOR","Details of Tax Revenue - Norway"
"187","REVNZL","Details of Tax Revenue - New Zealand"
"188","REVPOL","Details of Tax Revenue - Poland"
"189","REVPRT","Details of Tax Revenue - Portugal"
"190","REVSVK","Details of Tax Revenue - Slovak Republic"
"191","REVSWE","Details of Tax Revenue - Sweden"
"192","REVTUR","Details of Tax Revenue - Turkey"
"193","REVUSA","Details of Tax Revenue - United States"
"194","BLI2015","Better Life Index - Edition 2015"
"195","RFOREIGN","Foreign / international students enrolled"
"196","RENRL","Students enrolled by type of institution"
"197","RENRLAGE","Students enrolled by age"
"198","RFIN1","Expenditure by funding source and transaction type"
"199","RFIN2","Expenditure by nature and resource category"
"200","RPERS","Educational personnel"
"201","RGRADAGE","Graduates by age - Archives"
"202","RGRADSTY","Graduates by field of education"
"203","RNENTAGE","New entrants by sex and age"
"204","ROVERAGE","Students aligned to finance and personnel data"
"205","RPOP","Total population by sex and age"
"206","REFSERIES_REV","Reference Series for Revenue Statistics"
"207","REGION_DEMOGR","Regional Demography"
"208","LAND_COVER","Land cover in countries and regions"
"209","HIGH_AGLINK_2011","OECD-FAO Agricultural Outlook 2011-2020"
"210","CIIE10","Part 1 - Comparing innovation in education with other sectors"
"211","TOURISM_ENTR_EMPL","Enterprises and employment in tourism"
"212","GERD_FUNDS","Gross domestic expenditure on R-D by sector of performance and source of funds"
"213","AEO11_OVERVIEW_CHAPTER1_FIG12_EN","Figure 1.15: Current account and fiscal balance in oil-exporting countries"
"214","AEO11_OVERVIEW_CHAPTER1_FIG13_EN","Figure 1.16: Current account and fiscal balance in oil-importing countries"
"215","AFA_OUT3","Outward activity of multinationals by industrial sector (manufacturing) - ISIC Rev 3"
"216","SOCX_REF","Social Expenditure - Reference series"
"217","AFA_IN3_MANUF","Inward activity of multinationals by investing country, total manufacturing - ISIC Rev 3"
"218","FISH_AQUA","Aquaculture production"
"219","EO80_TRADE","Economic Outlook No 80 - December 2006 - Annual Trade and Payments Projections"
"220","BPF1","Income Statement and Balance Sheet "
"221","AWCOU","Country tables (current model)"
"222","MFP","Multi-factor Productivity"
"223","CS","Capital Services by Type of Asset"
"224","AFA_OUT3_PARTNER","Outward activity of multinationals by country of location - ISIC Rev 3"
"225","DP_LIVE","OECD Data Live dataset"
"226","AEO11_OVERVIEW_CHAPTER1_TAB2_EN","Table 1.1: Growth by regions (real GDP growth in percentage)"
"227","AEO11_OVERVIEW_CHAPTER1_TAB1_EN","Table 1.2: Demographic trends in Africa (million persons) "
"228","ULC_ANN","Unit Labour Costs - Annual Indicators"
"229","PPP2014","2014 PPP Benchmark results"
"230","REVEU","[Discontinued] VAT and Customs duties - European Union"
"231","SNA_TABLE2_SNA93","2. Disposable income and net lending - net borrowing, SNA93"
"232","BROADBAND_DB","Broadband database"
"233","AFA_CALC_IN3","Inward activity of multinationals - Share in national total (manufacturing)"
"234","AFA_CALC_OUT3","Outward activity of multinationals - Share in national total (manufacturing)"
"235","BTD_ED_2010","STAN Bilateral Trade 2010"
"236","JOBQ","Job quality"
"237","DIOC_CITIZEN_AGE","Immigrants by citizenship and age"
"238","SNGF_WO","OECD-UCLG World Observatory on Subnational Government Finance and Investment"
"239","GERD_SCIENCE","Gross domestic expenditure on R-D by sector of performance and field of science"
"240","FOOD_WASTE","Food Waste"
"241","SNA_TABLE3_SNA93","3. Population and employment by main activity, SNA93"
"242","SNA_TABLE5_SNA93","5. Final consumption expenditure of households, SNA93"
"243","SNA_TABLE6_SNA93","6. Value added and its components by activity, SNA93"
"244","RD_ACTIVITY","R-D expenditure by sector of performance and type of R-D"
"245","GERD_COST","Gross Domestic Expenditure on R-D by sector of performance and type of cost"
"246","BERD_INDUSTRY","Business enterprise R-D expenditure by industry"
"247","BERD_FUNDS","Business enterprise R-D expenditure by industry and by source of funds"
"248","BERD_COST","Business enterprise R-D expenditure by industry and by type of cost"
"249","BERD_SIZE","Business enterprise R-D expenditure by size class and by source of funds"
"250","PERS_OCCUP","R-D personnel by sector of employment and occupation"
"251","PERS_QUAL","R-D personnel by sector of employment and qualification"
"252","PERS_SCIENCE","R-D personnel by sector of employment and field of science"
"253","PERS_INDUSTRY","Business enterprise R-D personnel by industry"
"254","MATERIAL_RESOURCES","Material resources"
"255","EO81_MAIN","Economic Outlook No 81 - June 2007 - Annual Projections for OECD Countries"
"256","EO81_TRADE","Economic Outlook No 81 - June 2007 - Annual Trade and Payments Projections"
"257","REF_TOTALOFFICIAL","Total official flows by country and region (ODA+OOF)"
"258","AEO11_OVERVIEW_CHAPTER5_TAB3_EN","Table 5.3: Corruption perception index"
"259","REVARG","Details of Tax Revenue - Argentina"
"260","EO82_TRADE","Economic Outlook No 82 - December 2007 - Annual Trade and Payments Projections"
"261","EO82_MAIN","Economic Outlook No 82 - December 2007 - Annual Projections for OECD Countries"
"262","TABLE_I1","Table I.1. Central government personal income tax rates and thresholds"
"263","ONRD_FUNDS","Other national R-D expenditure by field of science and by source of funds"
"264","ONRD_COST","Other national R&D expenditure by field of science and by type of cost"
"265","AEO11_OVERVIEW_CHAPTER4_TAB2_EN","Table 4.2: Indices of human development"
"266","EO99_INTERNET","Economic Outlook No 99 - June 2016"
"267","DIOC_SEX_AGE","Immigrants by sex and age"
"268","EO60_MAIN","Economic Outlook No 60 - December 1996 - Annual Projections for OECD Countries"
"269","DIOC_OCCUPATION_DET","Immigrants by detailed occupation"
"270","EO01_VINTAGE","Economic Outlook No 01 - June 1967 - Annual Projections for OECD Countries"
"271","EO02_VINTAGE","Economic Outlook No 02 - December 1967 - Annual Projections for OECD Countries"
"272","EO03_VINTAGE","Economic Outlook No 03 - June 1968 - Annual Projections for OECD Countries"
"273","EO04_VINTAGE","Economic Outlook No 04 - December 1968 - Annual Projections for OECD Countries"
"274","EO05_VINTAGE","Economic Outlook No 05 - June 1969 - Annual Projections for OECD Countries"
"275","EO06_VINTAGE","Economic Outlook No 06 - December 1969 - Annual Projections for OECD Countries"
"276","EO07_VINTAGE","Economic Outlook No 07 - June 1970 - Annual Projections for OECD Countries"
"277","EO08_VINTAGE","Economic Outlook No 08 - December 1970 - Annual Projections for OECD Countries"
"278","EO09_VINTAGE","Economic Outlook No 09 - June 1971 - Annual Projections for OECD Countries"
"279","EO10_VINTAGE","Economic Outlook No 10 - December 1971 - Annual Projections for OECD Countries"
"280","EO11_VINTAGE","Economic Outlook No 11 - June 1972 - Annual Projections for OECD Countries"
"281","EO12_VINTAGE","Economic Outlook No 12 - December 1972 - Annual Projections for OECD Countries"
"282","EO13_VINTAGE","Economic Outlook No 13 - June 1973 - Annual Projections for OECD Countries"
"283","EO14_VINTAGE","Economic Outlook No 14 - December 1973 - Annual Projections for OECD Countries"
"284","EO15_VINTAGE","Economic Outlook No 15 - June 1974 - Annual Projections for OECD Countries"
"285","EO16_VINTAGE","Economic Outlook No 16 - December 1974 - Annual Projections for OECD Countries"
"286","EO17_VINTAGE","Economic Outlook No 17 - June 1975 - Annual Projections for OECD Countries"
"287","EO18_VINTAGE","Economic Outlook No 18 - December 1975 - Annual Projections for OECD Countries"
"288","EO19_VINTAGE","Economic Outlook No 19 - June 1976 - Annual Projections for OECD Countries"
"289","EO20_VINTAGE","Economic Outlook No 20 - December 1976 - Annual Projections for OECD Countries"
"290","EO21_VINTAGE","Economic Outlook No 21 - June 1977 - Annual Projections for OECD Countries"
"291","EO22_VINTAGE","Economic Outlook No 22 - December 1977 - Annual Projections for OECD Countries"
"292","EO23_VINTAGE","Economic Outlook No 23 - June 1978 - Annual Projections for OECD Countries"
"293","EO24_VINTAGE","Economic Outlook No 24 - December 1978 - Annual Projections for OECD Countries"
"294","EO25_VINTAGE","Economic Outlook No 25 - June 1979 - Annual Projections for OECD Countries"
"295","EO26_VINTAGE","Economic Outlook No 26 - December 1979 - Annual Projections for OECD Countries"
"296","EO27_VINTAGE","Economic Outlook No 27 - June 1980 - Annual Projections for OECD Countries"
"297","EO28_VINTAGE","Economic Outlook No 28 - December 1980 - Annual Projections for OECD Countries"
"298","EO29_VINTAGE","Economic Outlook No 29 - June 1981 - Annual Projections for OECD Countries"
"299","EO30_VINTAGE","Economic Outlook No 30 - December 1981 - Annual Projections for OECD Countries"
"300","DIOC_LFS","Immigrants by labour force status"
"301","EO31_VINTAGE","Economic Outlook No 31 - June 1982 - Annual Projections for OECD Countries"
"302","EO32_VINTAGE","Economic Outlook No 32 - December 1982 - Annual Projections for OECD Countries"
"303","EO33_VINTAGE","Economic Outlook No 33 - June 1983 - Annual Projections for OECD Countries"
"304","EO34_VINTAGE","Economic Outlook No 34 - December 1983 - Annual Projections for OECD Countries"
"305","EO35_VINTAGE","Economic Outlook No 35 - June 1984 - Annual Projections for OECD Countries"
"306","EO36_VINTAGE","Economic Outlook No 36 - December 1984 - Annual Projections for OECD Countries"
"307","EO37_VINTAGE","Economic Outlook No 37 - June 1985 - Annual Projections for OECD Countries"
"308","EO38_VINTAGE","Economic Outlook No 38 - December 1985 - Annual Projections for OECD Countries"
"309","EO39_VINTAGE","Economic Outlook No 39 - June 1986 - Annual Projections for OECD Countries"
"310","EO40_VINTAGE","Economic Outlook No 40 - December 1986 - Annual Projections for OECD Countries"
"311","EO41_VINTAGE","Economic Outlook No 41 - June 1987 - Annual Projections for OECD Countries"
"312","EO42_VINTAGE","Economic Outlook No 42 - December 1987 - Annual Projections for OECD Countries"
"313","EO43_VINTAGE","Economic Outlook No 43 - June 1988 - Annual Projections for OECD Countries"
"314","EO44_VINTAGE","Economic Outlook No 44 - December 1988 - Annual Projections for OECD Countries"
"315","EO45_VINTAGE","Economic Outlook No 45 - June 1989 - Annual Projections for OECD Countries"
"316","EO46_VINTAGE","Economic Outlook No 46 - December 1989 - Annual Projections for OECD Countries"
"317","EO47_VINTAGE","Economic Outlook No 47 - June 1990 - Annual Projections for OECD Countries"
"318","EO48_VINTAGE","Economic Outlook No 48 - December 1990 - Annual Projections for OECD Countries"
"319","EO49_VINTAGE","Economic Outlook No 49 - June 1991 - Annual Projections for OECD Countries"
"320","EO50_VINTAGE","Economic Outlook No 50 - December 1991 - Annual Projections for OECD Countries"
"321","EO51_VINTAGE","Economic Outlook No 51 - June 1992 - Annual Projections for OECD Countries"
"322","EO52_VINTAGE","Economic Outlook No 52 - December 1992 - Annual Projections for OECD Countries"
"323","EO53_VINTAGE","Economic Outlook No 53 - June 1993 - Annual Projections for OECD Countries"
"324","EO54_VINTAGE","Economic Outlook No 54 - December 1993 - Annual Projections for OECD Countries"
"325","EO55_VINTAGE","Economic Outlook No 55 - June 1994 - Annual Projections for OECD Countries"
"326","EO56_VINTAGE","Economic Outlook No 56 - December 1994 - Annual Projections for OECD Countries"
"327","EO57_VINTAGE","Economic Outlook No 57 - June 1995 - Annual Projections for OECD Countries"
"328","EO58_VINTAGE","Economic Outlook No 58 - December 1995 - Annual Projections for OECD Countries"
"329","EO59_VINTAGE","Economic Outlook No 59 - June 1996 - Annual Projections for OECD Countries"
"330","EO61_MAIN","Economic Outlook No 61 - June 1997 - Annual Projections for OECD Countries"
"331","DIOC_DURATION_STAY","Immigrants by duration of stay"
"332","EO62_MAIN","Economic Outlook No 62 - December 1997 - Annual Projections for OECD Countries"
"333","EO63_MAIN","Economic Outlook No 63 - June 1998 - Annual Projections for OECD Countries"
"334","EO64_MAIN","Economic Outlook No 64 - December 1998 - Annual Projections for OECD Countries"
"335","EO65_MAIN","Economic Outlook No 65 - June 1999 - Annual Projections for OECD Countries"
"336","EO66_MAIN","Economic Outlook No 66 - December 1999 - Annual Projections for OECD Countries"
"337","EO67_MAIN","Economic Outlook No 67 - June 2000 - Annual Projections for OECD Countries"
"338","EO68_MAIN","Economic Outlook No 68 - December 2000 - Annual Projections for OECD Countries"
"339","EO69_MAIN","Economic Outlook No 69 - June 2001 - Annual Projections for OECD Countries"
"340","EO70_MAIN","Economic Outlook No 70 - December 2001 - Annual Projections for OECD Countries"
"341","EO71_MAIN","Economic Outlook No 71 - June 2002 - Annual Projections for OECD Countries"
"342","EO72_MAIN","Economic Outlook No 72 - December 2002 - Annual Projections for OECD Countries"
"343","EO73_MAIN","Economic Outlook No 73 - June 2003 - Annual Projections for OECD Countries"
"344","EO74_MAIN","Economic Outlook No 74 - December 2003 - Annual Projections for OECD Countries"
"345","EO75_MAIN","Economic Outlook No 75 - June 2004 - Annual Projections for OECD Countries"
"346","EO60_TRADE","Economic Outlook No 60 - December 1996 - Annual Trade and Payments Projections"
"347","EO61_TRADE","Economic Outlook No 61 - June 1997 - Annual Trade and Payments Projections"
"348","EO62_TRADE","Economic Outlook No 62 - December 1997 - Annual Trade and Payments Projections"
"349","EO63_TRADE","Economic Outlook No 63 - June 1998 - Annual Trade and Payments Projections"
"350","EO64_TRADE","Economic Outlook No 64 - December 1998 - Annual Trade and Payments Projections"
"351","EO65_TRADE","Economic Outlook No 65 - June 1999 - Annual Trade and Payments Projections"
"352","EO66_TRADE","Economic Outlook No 66 - December 1999 - Annual Trade and Payments Projections"
"353","EO67_TRADE","Economic Outlook No 67 - June 2000 - Annual Trade and Payments Projections"
"354","EO68_TRADE","Economic Outlook No 68 - December 2000 - Annual Trade and Payments Projections"
"355","EO69_TRADE","Economic Outlook No 69 - June 2001 - Annual Trade and Payments Projections"
"356","EO70_TRADE","Economic Outlook No 70 - December 2001 - Annual Trade and Payments Projections"
"357","EO71_TRADE","Economic Outlook No 71 - June 2002 - Annual Trade and Payments Projections"
"358","EO72_TRADE","Economic Outlook No 72 - December 2002 - Annual Trade and Payments Projections"
"359","EO73_TRADE","Economic Outlook No 73 - June 2003 - Annual Trade and Payments Projections"
"360","EO74_TRADE","Economic Outlook No 74 - December 2003 - Annual Trade and Payments Projections"
"361","EO75_TRADE","Economic Outlook No 75 - June 2004 - Annual Trade and Payments Projections"
"362","AEO11_INDEPTH_CHAPTER6_TAB9_A_PT","Tabela 6.9a: Importações africanas de produtos manufacturados por origem (2000-09, em percentagem)"
"363","AEO11_INDEPTH_CHAPTER6_TAB9_B_PT","Tabela 6.9b: Exportações africanas de produtos manufacturados, por destino (2000-09, em percentagem)"
"364","SNA_TABLE14A","14A. Non-financial accounts by sectors"
"365","EO87_FLASHFILE_EO87","Economic Outlook No 87 - June 2010 - Flash file"
"366","SDBS_BDI","SDBS Business Demography Indicators (ISIC Rev. 3)"
"367","TEC5_REV4","V - TEC by commodity groups (CPC) "
"368","LAC_REVCHL","Details of Tax Revenue  -  Chile"
"369","EO88_FLASHFILE_EO88","Economic Outlook No 88 - December 2010 - Flash file"
"370","DIOC_OCCUPATION","Immigrants by occupation"
"371","DIOC_FIELD_STUDY","Immigrants by field of study"
"372","SNA_TABLE6A_SNA93","6A. Value added and its components by activity, ISIC rev4, SNA93"
"373","FATS_IN3_SERV","Inward activity of Multinationals in  ISIC Rev 3 (services)"
"374","FATS_OUT3_SERV","Outward Activity of Multinationals in ISIC Rev 3 (services)"
"375","DIOC_SECTOR","Immigrants by sector"
"376","TES3","III: TEC by Partner zones and countries"
"377","REVBRA","Details of Tax Revenue - Brazil"
"378","AV_AN_WAGE","Average annual wages"
"379","EO83_FLASHFILE_EO83","Economic Outlook No 83 - June 2008 - Flash file"
"380","KEI","Key Short-Term Economic Indicators"
"381","EO89_FLASHFILE_EO89","Economic Outlook No 89 - June 2011 - Flash file"
"382","AEO11_INDEPTH_CHAPTER6_TAB4_EN","Table 6.4a: ODA gross disbursements (OECD DAC definition) from traditional partners, 2009 (in million USD)"
"383","ETCR","Regulation in energy, transport and communications 2013"
"384","EO83_TRADE","Economic Outlook No 83 - June 2008 - Annual Trade and Payments Projections"
"385","EO83_MAIN","Economic Outlook No 83 - June 2008 - Annual Projections for OECD Countries"
"386","TAXAUTO","Tax autonomy"
"387","FDI_BOP_IIP","FDI series of BOP and IIP aggregates"
"388","FDI_POSITION_PARTNER","FDI positions by partner country"
"389","PNN_NEW","Funded Pension Statistics"
"390","PNNI_NEW","Funded Pensions Indicators"
"391","AEO11_COUNTRYNOTES_TAB1_EN","Table 1: Macroeconomic indicators"
"392","TSEC5","V: TEC by commodity groups (CPC)"
"393","REVCPV","Details of Public Revenues - Cabo Verde"
"394","CRS1_GREQ","CRS Grant Equivalent"
"395","REVNRU","Details of Public Revenue - Nauru"
"396","ULC_EEQ","Unit labour costs and labour productivity (employment based), Total economy"
"397","EO84_MAIN","Economic Outlook No 84 - December 2008 - Annual Projections for OECD Countries"
