"","date","TMIN.Albacete","TMIN.Amsterdam","TMIN.Beijng","TMIN.HongKong","TMIN.London","TMIN.Madrid","TMIN.NewYork","TMIN.Oviedo","TMIN.Paris","TMIN.Seoul","TMIN.Singapore","TMIN.Tokyo","TMIN.Dubai","TMIN.Frankfurt","TMIN.Chicago","TMIN.LosAngeles","TMAX.Albacete","TMAX.Amsterdam","TMAX.Beijng","TMAX.HongKong","TMAX.London","TMAX.Madrid","TMAX.NewYork","TMAX.Oviedo","TMAX.Paris","TMAX.Seoul","TMAX.Singapore","TMAX.Tokyo","TMAX.Dubai","TMAX.Frankfurt","TMAX.Chicago","TMAX.LosAngeles","PRCP.Albacete","PRCP.Amsterdam","PRCP.Beijng","PRCP.HongKong","PRCP.London","PRCP.Madrid","PRCP.NewYork","PRCP.Oviedo","PRCP.Paris","PRCP.Seoul","PRCP.Singapore","PRCP.Tokyo","PRCP.Dubai","PRCP.Frankfurt","PRCP.Chicago","PRCP.LosAngeles"
"20",1989-01-20,1,NA,-5,12,-1,4,-1,2,3,2,NA,8,NA,NA,NA,NA,11,NA,7,20,8,9,12,12,7,6,NA,13,NA,NA,NA,NA,6,0,0,0,36,2,0,4,1,40,NA,50,NA,NA,NA,NA
"21",1989-01-21,-3,NA,-5,NA,3,2,-9,5,3,-1,24,5,NA,NA,NA,NA,10,NA,8,18,9,10,-1,14,8,5,31,13,NA,NA,NA,NA,0,10,0,0,46,0,0,0,59,0,NA,0,NA,NA,NA,NA
"22",1989-01-22,-3,NA,-3,NA,0,2,-7,5,4,-2,NA,4,NA,NA,NA,NA,10,NA,0,16,9,11,5,14,8,8,NA,12,NA,NA,NA,NA,0,1,0,0,2,0,0,0,0,20,NA,0,NA,NA,NA,NA
"23",1989-01-23,-4,NA,-5,8,2,2,0,1,-1,1,23,0,NA,NA,NA,NA,11,NA,4,16,9,11,11,12,6,5,NA,5,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,60,71,360,NA,NA,NA,NA
"24",1989-01-24,-2,NA,-6,10,4,1,2,0,0,0,23,1,NA,NA,NA,NA,10,NA,1,16,5,9,16,13,2,2,30,11,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"25",1989-01-25,0,NA,-6,NA,2,1,2,0,0,-1,23,1,NA,NA,NA,NA,9,NA,7,15,10,8,8,16,7,3,NA,10,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"26",1989-01-26,1,NA,-6,NA,2,4,2,6,-2,-4,NA,0,NA,NA,NA,NA,11,NA,2,13,11,10,9,17,10,3,32,7,NA,NA,NA,NA,0,0,0,NA,0,0,33,0,0,30,NA,0,NA,NA,NA,NA
"27",1989-01-27,-1,NA,-8,NA,4,2,3,4,-1,-8,23,0,NA,NA,NA,NA,8,NA,1,14,10,11,8,15,11,-4,31,15,NA,NA,NA,NA,0,0,0,NA,10,0,0,0,0,0,0,0,NA,NA,NA,NA
"28",1989-01-28,0,NA,-11,8,6,2,0,2,-1,-10,23,0,NA,NA,NA,NA,9,NA,2,11,9,10,8,14,11,-1,NA,5,NA,NA,NA,NA,0,8,0,NA,77,0,0,0,0,0,NA,0,NA,NA,NA,NA
"29",1989-01-29,-1,NA,-9,9,-2,2,4,1,-1,-8,NA,0,NA,NA,NA,NA,8,NA,3,14,8,11,11,13,10,0,31,8,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"30",1989-01-30,-5,NA,-7,10,0,3,7,0,3,-5,NA,2,NA,NA,NA,NA,11,NA,4,12,6,12,11,13,6,1,32,13,NA,NA,NA,NA,0,0,0,0,0,0,107,0,0,0,0,0,NA,NA,NA,NA
"31",1989-01-31,0,NA,-1,10,2,3,3,0,-1,-2,23,-1,NA,NA,NA,NA,11,NA,4,20,5,10,11,14,1,3,31,13,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"32",1989-02-01,2,NA,-2,11,1,5,7,3,-2,-5,23,1,NA,NA,NA,NA,11,NA,4,18,4,11,19,15,1,2,31,9,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
"33",1989-02-02,0,NA,-6,NA,-2,4,3,3,-2,-6,24,0,NA,NA,NA,NA,12,NA,6,14,7,12,14,14,3,-2,31,9,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA
"34",1989-02-03,3,NA,-7,9,0,4,-3,2,-3,-6,24,-2,NA,NA,NA,NA,12,NA,6,12,11,10,3,13,0,1,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,51,0,0,0,NA,0,NA,NA,NA,NA
"35",1989-02-04,3,NA,-4,9,4,2,-6,1,-3,-4,NA,-1,NA,NA,NA,NA,10,NA,4,14,11,11,-1,13,2,3,NA,9,NA,NA,NA,NA,0,43,0,0,5,0,0,0,0,0,NA,0,NA,NA,NA,NA
"36",1989-02-05,-2,NA,-7,11,8,2,-7,0,-1,-3,NA,1,NA,NA,NA,NA,10,NA,7,16,13,11,-3,14,8,5,32,11,NA,NA,NA,NA,0,0,0,0,0,0,0,0,11,0,0,0,NA,NA,NA,NA
"37",1989-02-06,-4,NA,-6,13,8,2,-3,-1,7,-3,23,-1,NA,NA,NA,NA,9,NA,7,18,13,12,4,14,12,6,32,14,NA,NA,NA,NA,2,0,0,0,0,0,25,0,0,0,0,0,NA,NA,NA,NA
"38",1989-02-07,3,NA,-1,NA,7,4,-2,0,4,-2,NA,3,NA,NA,NA,NA,10,NA,4,19,12,11,4,14,13,8,32,14,NA,NA,NA,NA,37,0,0,0,0,18,0,0,0,0,0,0,NA,NA,NA,NA
"39",1989-02-08,3,NA,-2,NA,5,4,-4,3,0,0,23,1,NA,NA,NA,NA,11,NA,8,13,11,9,3,17,11,4,33,12,NA,NA,NA,NA,24,0,0,NA,2,68,0,0,0,30,NA,0,NA,NA,NA,NA
"40",1989-02-09,3,NA,-2,NA,0,4,-8,3,1,-1,24,5,NA,NA,NA,NA,11,NA,6,10,10,8,-2,12,14,4,32,17,NA,NA,NA,NA,10,0,0,NA,2,0,0,18,0,0,0,75,NA,NA,NA,NA
"41",1989-02-10,5,NA,-6,7,3,6,-8,3,2,-4,NA,3,NA,NA,NA,NA,12,NA,11,15,9,10,-1,13,13,2,33,6,NA,NA,NA,NA,0,0,0,0,2,0,0,62,0,0,0,125,NA,NA,NA,NA
"42",1989-02-11,3,NA,-2,8,-2,7,-4,4,4,-3,24,1,NA,NA,NA,NA,8,NA,11,15,10,10,6,13,10,3,32,9,NA,NA,NA,NA,5,21,0,0,16,0,0,0,0,0,0,0,NA,NA,NA,NA
"43",1989-02-12,2,NA,2,9,1,5,-1,2,3,-2,NA,-1,NA,NA,NA,NA,11,NA,10,16,11,12,6,14,11,8,28,11,NA,NA,NA,NA,2,0,0,0,1,0,0,0,9,0,0,0,NA,NA,NA,NA
"44",1989-02-13,-1,NA,-4,10,0,2,-3,3,2,-1,NA,1,NA,NA,NA,NA,11,NA,10,18,9,14,6,14,9,9,31,10,NA,NA,NA,NA,0,80,0,0,28,0,13,9,17,0,0,0,NA,NA,NA,NA
"45",1989-02-14,1,NA,-2,13,3,6,5,4,5,0,22,1,NA,NA,NA,NA,17,NA,6,19,10,17,13,14,9,10,32,11,NA,NA,NA,NA,0,1,0,0,2,0,89,0,0,0,0,0,NA,NA,NA,NA
"46",1989-02-15,-4,NA,-3,15,4,2,4,1,3,2,23,-2,NA,NA,NA,NA,13,NA,10,18,9,16,10,17,12,10,32,12,NA,NA,NA,NA,0,25,0,0,21,0,91,0,8,0,0,0,NA,NA,NA,NA
"47",1989-02-16,-2,NA,1,17,0,4,-4,5,3,2,23,2,NA,NA,NA,NA,17,NA,7,22,12,17,6,14,9,15,32,15,NA,NA,NA,NA,0,3,0,0,60,0,0,0,0,0,0,0,NA,NA,NA,NA
"48",1989-02-17,-2,NA,0,19,-1,4,-7,1,3,5,NA,6,NA,NA,NA,NA,18,NA,6,26,12,17,-2,17,10,10,33,10,NA,NA,NA,NA,0,100,0,0,69,0,0,0,25,0,0,165,NA,NA,NA,NA
"49",1989-02-18,-2,NA,-4,NA,4,4,-7,5,8,3,NA,2,NA,NA,NA,NA,18,NA,6,22,12,17,0,19,14,9,33,6,NA,NA,NA,NA,0,43,0,0,32,0,0,0,16,0,NA,85,NA,NA,NA,NA
"50",1989-02-19,-1,NA,-3,16,9,6,-3,7,12,2,23,1,NA,NA,NA,NA,20,NA,3,19,11,17,6,22,16,9,32,13,NA,NA,NA,NA,0,27,0,0,12,0,0,1,10,0,480,0,NA,NA,NA,NA
"51",1989-02-20,3,NA,-2,16,4,9,1,11,10,1,24,1,NA,NA,NA,NA,17,NA,4,22,10,15,7,19,13,7,32,11,NA,NA,NA,NA,36,1,0,0,5,0,0,6,26,0,0,0,NA,NA,NA,NA
"52",1989-02-21,8,NA,-6,18,-1,9,5,6,5,-2,24,4,NA,NA,NA,NA,12,NA,3,24,8,14,16,12,8,4,31,13,NA,NA,NA,NA,20,0,0,0,5,0,378,38,86,0,NA,70,NA,NA,NA,NA
"53",1989-02-22,3,NA,-7,17,4,6,3,3,5,-4,NA,3,NA,NA,NA,NA,15,NA,6,20,8,16,12,12,10,5,32,9,NA,NA,NA,NA,0,46,0,0,29,25,91,280,64,0,0,0,NA,NA,NA,NA
"54",1989-02-23,3,NA,-4,17,-1,4,-3,5,4,-1,24,1,NA,NA,NA,NA,10,NA,8,20,7,10,7,10,9,6,32,8,NA,NA,NA,NA,100,0,0,0,7,22,0,105,0,30,NA,0,NA,NA,NA,NA
"55",1989-02-24,2,NA,-3,NA,1,1,-7,4,1,1,NA,2,NA,NA,NA,NA,9,NA,10,21,6,10,-3,10,9,7,31,5,NA,NA,NA,NA,10,15,0,0,37,52,0,98,31,20,NA,5,NA,NA,NA,NA
"56",1989-02-25,6,NA,-2,11,0,5,-9,6,3,1,24,4,NA,NA,NA,NA,15,NA,6,22,6,14,1,15,7,3,32,5,NA,NA,NA,NA,0,47,0,0,98,4,0,241,100,140,NA,80,NA,NA,NA,NA
"57",1989-02-26,5,NA,-2,14,1,5,-3,4,2,1,24,4,NA,NA,NA,NA,11,NA,10,20,8,11,3,8,9,8,32,12,NA,NA,NA,NA,22,49,0,0,64,3,30,221,37,0,0,150,NA,NA,NA,NA
"58",1989-02-27,4,NA,0,NA,0,3,0,5,2,1,24,2,NA,NA,NA,NA,10,NA,7,20,9,11,6,12,10,10,32,12,NA,NA,NA,NA,0,74,0,0,32,3,0,91,22,0,0,0,NA,NA,NA,NA
"59",1989-02-28,6,NA,-2,15,1,7,-1,9,3,3,NA,3,NA,NA,NA,NA,14,NA,10,22,9,14,4,15,8,8,32,14,NA,NA,NA,NA,0,85,0,0,8,0,0,293,1,140,0,0,NA,NA,NA,NA
"60",1989-03-01,8,NA,-2,17,4,8,-1,7,3,0,NA,5,NA,NA,NA,NA,16,NA,8,23,10,16,6,15,10,10,32,16,NA,NA,NA,NA,0,22,0,0,2,0,0,72,15,0,0,0,NA,NA,NA,NA
"61",1989-03-02,5,NA,2,NA,2,6,-2,6,3,3,NA,0,NA,NA,NA,NA,19,NA,7,21,11,13,6,22,10,8,32,12,NA,NA,NA,NA,0,84,0,NA,71,0,0,10,79,90,61,0,NA,NA,NA,NA
"62",1989-03-03,5,NA,2,NA,4,8,1,12,6,3,24,2,NA,NA,NA,NA,15,NA,10,24,12,17,7,17,12,6,32,11,NA,NA,NA,NA,0,5,0,0,14,0,0,0,10,850,0,0,NA,NA,NA,NA
"63",1989-03-04,1,NA,-2,NA,3,6,1,10,6,3,NA,6,NA,NA,NA,NA,19,NA,7,21,14,18,4,19,11,7,31,18,NA,NA,NA,NA,0,5,0,0,5,0,3,0,4,0,NA,50,NA,NA,NA,NA
"64",1989-03-05,4,NA,-1,10,7,9,1,7,8,0,23,4,NA,NA,NA,NA,18,NA,9,14,17,19,6,21,16,4,31,12,NA,NA,NA,NA,0,1,0,0,2,0,25,0,0,0,NA,120,NA,NA,NA,NA
"65",1989-03-06,3,NA,-3,13,9,8,-5,8,6,-3,NA,2,NA,NA,NA,NA,19,NA,7,NA,13,17,6,19,20,1,28,11,NA,NA,NA,NA,0,0,0,0,8,0,94,182,0,0,0,10,NA,NA,NA,NA
"66",1989-03-07,3,NA,-3,13,6,8,-11,9,7,-3,NA,1,NA,NA,NA,NA,20,NA,8,15,9,17,-4,14,12,1,30,7,NA,NA,NA,NA,0,264,0,0,0,1,0,56,245,0,NA,140,NA,NA,NA,NA
"67",1989-03-08,6,NA,-5,13,-1,8,-9,4,4,-3,NA,1,NA,NA,NA,NA,17,NA,13,18,10,17,0,14,11,4,30,7,NA,NA,NA,NA,12,0,0,0,6,0,0,0,0,0,NA,50,NA,NA,NA,NA
"68",1989-03-09,1,NA,-1,14,6,7,-5,4,3,-1,NA,-1,NA,NA,NA,NA,20,NA,15,18,11,19,6,17,13,7,30,9,NA,NA,NA,NA,0,3,0,0,14,0,0,0,0,0,NA,0,NA,NA,NA,NA
"69",1989-03-10,2,NA,2,14,8,8,-2,6,5,2,23,0,NA,NA,NA,NA,21,NA,15,19,11,20,8,15,16,9,30,14,NA,NA,NA,NA,0,4,0,0,30,0,0,0,0,0,NA,0,NA,NA,NA,NA
"70",1989-03-11,7,NA,3,15,6,9,-1,5,6,5,NA,1,NA,NA,NA,NA,19,NA,17,20,10,22,9,15,17,10,31,14,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"71",1989-03-12,4,NA,6,16,1,10,-2,8,8,6,23,3,NA,NA,NA,NA,23,NA,21,22,10,22,8,19,17,12,32,17,NA,NA,NA,NA,0,9,0,0,14,0,0,90,1,0,NA,0,NA,NA,NA,NA
"72",1989-03-13,4,NA,6,18,5,7,-6,7,8,5,23,5,NA,NA,NA,NA,23,NA,17,24,10,18,3,14,12,12,30,16,NA,NA,NA,NA,0,2,0,0,0,3,0,41,0,0,NA,75,NA,NA,NA,NA
"73",1989-03-14,5,NA,7,NA,4,4,2,2,3,2,24,8,NA,NA,NA,NA,13,NA,14,27,11,15,12,17,11,8,31,20,NA,NA,NA,NA,0,77,0,0,131,0,0,0,63,0,NA,5,NA,NA,NA,NA
"74",1989-03-15,2,NA,2,18,6,6,8,6,6,2,24,5,NA,NA,NA,NA,19,NA,14,22,8,19,21,18,14,9,32,16,NA,NA,NA,NA,0,0,0,0,35,0,0,0,62,0,0,0,NA,NA,NA,NA
"75",1989-03-16,5,NA,2,19,4,7,6,8,10,2,NA,3,NA,NA,NA,NA,20,NA,15,25,7,18,14,19,15,7,NA,14,NA,NA,NA,NA,0,142,0,NA,138,0,0,134,44,20,NA,0,NA,NA,NA,NA
"76",1989-03-17,7,NA,1,NA,2,5,6,5,5,0,NA,3,NA,NA,NA,NA,14,NA,14,21,9,12,21,12,8,8,NA,11,NA,NA,NA,NA,44,5,0,NA,5,136,0,22,102,0,NA,0,NA,NA,NA,NA
"77",1989-03-18,2,NA,4,17,-2,3,3,3,3,1,NA,2,NA,NA,NA,NA,7,NA,11,19,12,12,25,12,11,10,32,12,NA,NA,NA,NA,94,2,0,NA,13,0,152,0,0,0,NA,0,NA,NA,NA,NA
"78",1989-03-19,3,NA,3,18,4,3,-1,1,2,1,23,2,NA,NA,NA,NA,6,NA,12,22,12,15,8,13,13,12,32,13,NA,NA,NA,NA,64,4,0,0,18,0,0,50,0,0,NA,0,NA,NA,NA,NA
"79",1989-03-20,4,NA,2,NA,3,4,-1,6,2,5,24,4,NA,NA,NA,NA,16,NA,12,20,11,17,6,14,10,12,31,14,NA,NA,NA,NA,0,55,0,0,64,0,89,22,21,0,NA,0,NA,NA,NA,NA
"80",1989-03-21,1,NA,0,NA,1,7,1,8,3,3,NA,4,NA,NA,NA,NA,17,NA,15,20,13,17,8,15,11,11,NA,16,NA,NA,NA,NA,0,16,0,NA,76,0,51,0,14,0,NA,0,NA,NA,NA,NA
"81",1989-03-22,3,NA,4,15,3,7,-2,6,8,2,23,4,NA,NA,NA,NA,19,NA,14,17,12,21,8,19,14,13,32,11,NA,NA,NA,NA,0,10,0,NA,3,0,0,30,14,0,71,45,NA,NA,NA,NA
"82",1989-03-23,0,NA,6,16,1,7,1,9,3,5,24,3,NA,NA,NA,NA,20,NA,13,21,11,21,9,12,11,13,30,15,NA,NA,NA,NA,0,147,0,0,21,0,0,40,0,10,150,0,NA,NA,NA,NA
"83",1989-03-24,1,NA,4,18,6,7,3,6,6,5,24,6,NA,NA,NA,NA,20,NA,15,23,10,21,4,16,14,9,32,8,NA,NA,NA,NA,0,58,0,0,2,0,521,0,0,20,10,10,NA,NA,NA,NA
"84",1989-03-25,3,NA,0,NA,2,10,3,10,10,2,NA,6,NA,NA,NA,NA,23,NA,16,19,14,23,17,16,14,11,31,16,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,4,0,0,20,NA,NA,NA,NA
"85",1989-03-26,7,NA,7,NA,6,10,8,7,6,4,24,5,NA,NA,NA,NA,23,NA,17,14,18,23,19,20,19,12,31,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,51,0,NA,NA,NA,NA
"86",1989-03-27,8,NA,6,11,7,13,7,9,8,4,24,7,NA,NA,NA,NA,20,NA,16,20,15,22,16,23,24,10,31,12,NA,NA,NA,NA,0,0,0,0,0,15,0,72,0,0,0,100,NA,NA,NA,NA
"87",1989-03-28,1,NA,2,13,7,4,13,6,11,5,NA,5,NA,NA,NA,NA,14,NA,19,23,16,13,28,13,21,11,NA,9,NA,NA,NA,NA,244,0,0,0,0,75,0,31,0,0,5,65,NA,NA,NA,NA
"88",1989-03-29,1,NA,4,17,7,5,10,5,12,3,NA,4,NA,NA,NA,NA,10,NA,20,22,16,20,24,15,24,12,32,16,NA,NA,NA,NA,169,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"89",1989-03-30,4,NA,11,19,5,10,5,10,9,5,NA,3,NA,NA,NA,NA,13,NA,21,22,18,15,10,15,21,13,31,16,NA,NA,NA,NA,10,0,0,0,0,7,193,1,32,80,20,0,NA,NA,NA,NA
"90",1989-03-31,4,NA,11,19,3,8,4,12,12,6,NA,5,NA,NA,NA,NA,12,NA,26,25,13,15,7,15,21,11,31,13,NA,NA,NA,NA,1,0,0,0,0,1,124,0,5,20,41,0,NA,NA,NA,NA
"91",1989-04-01,4,NA,6,20,5,8,3,8,12,5,NA,5,NA,NA,NA,NA,18,NA,21,25,11,17,9,17,20,14,NA,22,NA,NA,NA,NA,0,0,0,0,38,0,0,66,22,0,0,0,NA,NA,NA,NA
"92",1989-04-02,5,NA,6,21,6,7,2,8,11,5,NA,6,NA,NA,NA,NA,20,NA,23,28,9,16,13,13,14,14,NA,20,NA,NA,NA,NA,0,0,0,NA,54,0,0,64,0,0,NA,0,NA,NA,NA,NA
"93",1989-04-03,2,NA,11,23,2,3,7,6,6,6,NA,9,NA,NA,NA,NA,10,NA,20,27,7,8,14,10,10,14,NA,13,NA,NA,NA,NA,27,0,0,NA,0,45,66,400,55,0,140,15,NA,NA,NA,NA
"94",1989-04-04,2,NA,6,NA,0,2,7,3,0,6,NA,9,NA,NA,NA,NA,8,NA,20,25,4,10,19,10,6,17,NA,19,NA,NA,NA,NA,8,33,0,NA,64,6,23,188,59,0,0,0,NA,NA,NA,NA
"95",1989-04-05,2,NA,10,20,0,2,11,3,4,7,NA,7,NA,NA,NA,NA,9,NA,19,22,7,10,25,11,7,15,NA,13,NA,NA,NA,NA,0,0,0,NA,130,0,137,86,54,0,NA,0,NA,NA,NA,NA
"96",1989-04-06,3,NA,6,NA,2,6,6,7,6,6,NA,4,NA,NA,NA,NA,14,NA,17,21,8,15,11,16,10,19,NA,21,NA,NA,NA,NA,0,133,0,NA,34,5,64,15,14,0,NA,0,NA,NA,NA,NA
"97",1989-04-07,4,NA,10,NA,2,6,5,6,3,8,NA,10,NA,NA,NA,NA,17,NA,24,NA,11,13,13,13,13,16,NA,21,NA,NA,NA,NA,0,1,0,NA,10,80,66,0,10,0,NA,0,NA,NA,NA,NA
"98",1989-04-08,3,NA,7,18,0,6,4,2,5,7,NA,10,NA,NA,NA,NA,20,NA,27,20,13,16,13,16,14,17,NA,12,NA,NA,NA,NA,6,2,0,NA,0,100,25,16,0,0,NA,315,NA,NA,NA,NA
"99",1989-04-09,8,NA,12,18,0,7,5,8,3,8,NA,11,NA,NA,NA,NA,15,NA,21,20,12,14,13,16,15,15,NA,24,NA,NA,NA,NA,73,2,0,NA,13,2,53,33,8,0,NA,0,NA,NA,NA,NA
"100",1989-04-10,5,NA,5,18,7,7,3,10,10,5,NA,12,NA,NA,NA,NA,15,NA,21,22,13,15,12,14,15,10,NA,17,NA,NA,NA,NA,0,18,0,0,24,0,0,6,11,0,NA,75,NA,NA,NA,NA
"101",1989-04-11,5,NA,6,19,6,8,1,8,6,7,NA,9,NA,NA,NA,NA,19,NA,24,21,13,17,12,22,13,14,30,16,NA,NA,NA,NA,0,88,0,0,95,4,0,74,90,0,NA,55,NA,NA,NA,NA
"102",1989-04-12,7,NA,7,19,4,8,3,7,8,6,NA,7,NA,NA,NA,NA,14,NA,23,20,13,14,14,14,15,17,NA,16,NA,NA,NA,NA,22,6,0,0,123,10,0,184,9,0,NA,10,NA,NA,NA,NA
"103",1989-04-13,6,NA,10,19,5,6,5,5,6,8,NA,9,NA,NA,NA,NA,16,NA,22,23,12,15,10,13,13,22,28,23,NA,NA,NA,NA,0,215,0,NA,0,3,33,126,2,0,NA,0,NA,NA,NA,NA
"104",1989-04-14,4,NA,10,NA,3,6,3,5,6,12,NA,9,NA,NA,NA,NA,14,NA,20,22,13,15,14,13,13,16,NA,24,NA,NA,NA,NA,0,50,0,NA,0,0,0,4,1,0,NA,0,NA,NA,NA,NA
