"","date","TMIN.Albacete","TMIN.Amsterdam","TMIN.Beijng","TMIN.HongKong","TMIN.London","TMIN.LosAngeles","TMIN.Madrid","TMIN.Oviedo","TMIN.Paris","TMIN.Seoul","TMIN.Singapore","TMIN.Tokyo","TMIN.Dubai","TMIN.NewYork","TMIN.Frankfurt","TMIN.Chicago","TMAX.Albacete","TMAX.Amsterdam","TMAX.Beijng","TMAX.HongKong","TMAX.London","TMAX.LosAngeles","TMAX.Madrid","TMAX.Oviedo","TMAX.Paris","TMAX.Seoul","TMAX.Singapore","TMAX.Tokyo","TMAX.Dubai","TMAX.NewYork","TMAX.Frankfurt","TMAX.Chicago","PRCP.Albacete","PRCP.Amsterdam","PRCP.Beijng","PRCP.HongKong","PRCP.London","PRCP.LosAngeles","PRCP.Madrid","PRCP.Oviedo","PRCP.Paris","PRCP.Seoul","PRCP.Singapore","PRCP.Tokyo","PRCP.Dubai","PRCP.NewYork","PRCP.Frankfurt","PRCP.Chicago"
"27",1989-01-27,-1,0,-8,NA,4,4,2,4,-1,-8,23,0,NA,NA,NA,NA,8,9,1,14,10,19,11,15,12,-4,31,15,NA,NA,NA,NA,0,0,0,NA,10,0,0,0,0,0,0,0,NA,NA,NA,NA
"28",1989-01-28,0,1,-11,8,6,8,2,2,0,-10,23,0,NA,NA,NA,NA,9,8,2,11,9,16,10,14,11,-1,NA,5,NA,NA,NA,NA,0,1,0,NA,77,0,0,0,0,0,NA,0,NA,NA,NA,NA
"29",1989-01-29,-1,-1,-9,9,-2,4,2,1,0,-8,NA,0,NA,NA,NA,NA,8,7,3,14,8,19,11,13,11,0,31,8,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"30",1989-01-30,-5,3,-7,10,0,7,3,0,3,-5,NA,2,NA,NA,NA,NA,11,9,4,12,6,24,12,13,8,1,32,13,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"31",1989-01-31,0,0,-1,10,2,6,3,0,-1,-2,23,-1,NA,NA,NA,NA,11,6,4,20,5,21,10,14,3,3,31,13,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"32",1989-02-01,2,1,-2,11,1,8,5,3,-2,-5,23,1,NA,NA,NA,NA,11,3,4,18,4,16,11,15,2,2,31,9,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA
"33",1989-02-02,0,0,-6,NA,-2,9,4,3,-2,-6,24,0,NA,NA,NA,NA,12,3,6,14,7,16,12,14,3,-2,31,9,NA,NA,NA,NA,0,0,0,0,2,41,0,0,0,0,0,0,NA,NA,NA,NA
"34",1989-02-03,3,1,-7,9,0,9,4,2,-2,-6,24,-2,NA,NA,NA,NA,12,4,6,12,11,12,10,13,2,1,NA,8,NA,NA,NA,NA,0,0,0,0,0,34,0,0,0,0,NA,0,NA,NA,NA,NA
"35",1989-02-04,3,2,-4,9,4,9,2,1,-3,-4,NA,-1,NA,NA,NA,NA,10,5,4,14,11,12,11,13,2,3,NA,9,NA,NA,NA,NA,0,0,0,0,5,99,0,0,0,0,NA,0,NA,NA,NA,NA
"36",1989-02-05,-2,4,-7,11,8,3,2,0,-1,-3,NA,1,NA,NA,NA,NA,10,10,7,16,13,11,11,14,9,5,32,11,NA,NA,NA,NA,0,32,0,0,0,0,0,0,14,0,0,0,NA,NA,NA,NA
"37",1989-02-06,-4,8,-6,13,8,6,2,-1,8,-3,23,-1,NA,NA,NA,NA,9,12,7,18,13,5,12,14,12,6,32,14,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"38",1989-02-07,3,6,-1,NA,7,3,4,0,4,-2,NA,3,NA,NA,NA,NA,10,12,4,19,12,13,11,14,13,8,32,14,NA,NA,NA,NA,37,0,0,0,0,0,18,0,0,0,0,0,NA,NA,NA,NA
"39",1989-02-08,3,1,-2,NA,5,3,4,3,0,0,23,1,NA,NA,NA,NA,11,10,8,13,11,8,9,17,12,4,33,12,NA,NA,NA,NA,24,0,0,NA,2,122,68,0,0,30,NA,0,NA,NA,NA,NA
"40",1989-02-09,3,1,-2,NA,0,6,4,3,1,-1,24,5,NA,NA,NA,NA,11,10,6,10,10,11,8,12,14,4,32,17,NA,NA,NA,NA,10,0,0,NA,2,323,0,18,0,0,0,75,NA,NA,NA,NA
"41",1989-02-10,5,0,-6,7,3,7,6,3,2,-4,NA,3,NA,NA,NA,NA,12,10,11,15,9,18,10,13,13,2,33,6,NA,NA,NA,NA,0,0,0,0,2,2,0,62,0,0,0,125,NA,NA,NA,NA
"42",1989-02-11,3,2,-2,8,-2,5,7,4,4,-3,24,1,NA,NA,NA,NA,8,10,11,15,10,17,10,13,10,3,32,9,NA,NA,NA,NA,5,0,0,0,16,0,0,0,0,0,0,0,NA,NA,NA,NA
"43",1989-02-12,2,5,2,9,1,4,5,2,4,-2,NA,-1,NA,NA,NA,NA,11,9,10,16,11,16,12,14,12,8,28,11,NA,NA,NA,NA,2,3,0,0,1,0,0,0,12,0,0,0,NA,NA,NA,NA
"44",1989-02-13,-1,0,-4,10,0,4,2,3,2,-1,NA,1,NA,NA,NA,NA,11,8,10,18,9,14,14,14,9,9,31,10,NA,NA,NA,NA,0,71,0,0,28,12,0,9,20,0,0,0,NA,NA,NA,NA
"45",1989-02-14,1,4,-2,13,3,2,6,4,5,0,22,1,NA,NA,NA,NA,17,8,6,19,10,15,17,14,9,10,32,11,NA,NA,NA,NA,0,1,0,0,2,2,0,0,0,0,0,0,NA,NA,NA,NA
"46",1989-02-15,-4,5,-3,15,4,4,2,1,3,2,23,-2,NA,NA,NA,NA,13,10,10,18,9,18,16,17,12,10,32,12,NA,NA,NA,NA,0,13,0,0,21,0,0,0,10,0,0,0,NA,NA,NA,NA
"47",1989-02-16,-2,-1,1,17,0,4,4,5,3,2,23,2,NA,NA,NA,NA,17,7,7,22,12,18,17,14,9,15,32,15,NA,NA,NA,NA,0,3,0,0,60,0,0,0,0,0,0,0,NA,NA,NA,NA
"48",1989-02-17,-2,-3,0,19,-1,5,4,1,3,5,NA,6,NA,NA,NA,NA,18,8,6,26,12,22,17,17,10,10,33,10,NA,NA,NA,NA,0,7,0,0,69,0,0,0,26,0,0,165,NA,NA,NA,NA
"49",1989-02-18,-2,7,-4,NA,4,6,4,5,8,3,NA,2,NA,NA,NA,NA,18,13,6,22,12,19,17,19,14,9,33,6,NA,NA,NA,NA,0,63,0,0,32,0,0,0,24,0,NA,85,NA,NA,NA,NA
"50",1989-02-19,-1,9,-3,16,9,10,6,7,12,2,23,1,NA,NA,NA,NA,20,13,3,19,11,15,17,22,16,9,32,13,NA,NA,NA,NA,0,35,0,0,12,4,0,1,10,0,480,0,NA,NA,NA,NA
"51",1989-02-20,3,2,-2,16,4,10,9,11,10,1,24,1,NA,NA,NA,NA,17,9,4,22,10,19,15,19,14,7,32,11,NA,NA,NA,NA,36,4,0,0,5,0,0,6,21,0,0,0,NA,NA,NA,NA
"52",1989-02-21,8,-1,-6,18,-1,8,9,6,5,-2,24,4,NA,NA,NA,NA,12,8,3,24,8,26,14,12,9,4,31,13,NA,NA,NA,NA,20,0,0,0,5,0,0,38,82,0,NA,70,NA,NA,NA,NA
"53",1989-02-22,3,-1,-7,17,4,11,6,3,6,-4,NA,3,NA,NA,NA,NA,15,9,6,20,8,28,16,12,10,5,32,9,NA,NA,NA,NA,0,14,0,0,29,0,25,280,66,0,0,0,NA,NA,NA,NA
"54",1989-02-23,3,3,-4,17,-1,12,4,5,4,-1,24,1,NA,NA,NA,NA,10,7,8,20,7,27,10,10,9,6,32,8,NA,NA,NA,NA,100,3,0,0,7,0,22,105,0,30,NA,0,NA,NA,NA,NA
"55",1989-02-24,2,1,-3,NA,1,11,1,4,2,1,NA,2,NA,NA,NA,NA,9,8,10,21,6,28,10,10,9,7,31,5,NA,NA,NA,NA,10,6,0,0,37,0,52,98,30,20,NA,5,NA,NA,NA,NA
"56",1989-02-25,6,4,-2,11,0,12,5,6,3,1,24,4,NA,NA,NA,NA,15,8,6,22,6,27,14,15,8,3,32,5,NA,NA,NA,NA,0,27,0,0,98,0,4,241,112,140,NA,80,NA,NA,NA,NA
"57",1989-02-26,5,4,-2,14,1,11,5,4,2,1,24,4,NA,NA,NA,NA,11,6,10,20,8,28,11,8,9,8,32,12,NA,NA,NA,NA,22,39,0,0,64,0,3,221,106,0,0,150,NA,NA,NA,NA
"58",1989-02-27,4,2,0,NA,0,12,3,5,3,1,24,2,NA,NA,NA,NA,10,7,7,20,9,24,11,12,10,10,32,12,NA,NA,NA,NA,0,38,0,0,32,0,3,91,23,0,0,0,NA,NA,NA,NA
"59",1989-02-28,6,2,-2,15,1,12,7,9,3,3,NA,3,NA,NA,NA,NA,14,7,10,22,9,18,14,15,8,8,32,14,NA,NA,NA,NA,0,63,0,0,8,0,0,293,1,140,0,0,NA,NA,NA,NA
"60",1989-03-01,8,4,-2,17,4,9,8,7,3,0,NA,5,NA,NA,NA,NA,16,8,8,23,10,18,16,15,10,10,32,16,NA,NA,NA,NA,0,128,0,0,2,0,0,72,19,0,0,0,NA,NA,NA,NA
"61",1989-03-02,5,4,2,NA,2,11,6,6,3,3,NA,0,NA,NA,NA,NA,19,8,7,21,11,13,13,22,10,8,32,12,NA,NA,NA,NA,0,78,0,NA,71,86,0,10,84,90,61,0,NA,NA,NA,NA
"62",1989-03-03,5,5,2,NA,4,7,8,12,6,3,24,2,NA,NA,NA,NA,15,10,10,24,12,17,17,17,12,6,32,11,NA,NA,NA,NA,0,6,0,0,14,5,0,0,6,850,0,0,NA,NA,NA,NA
"63",1989-03-04,1,4,-2,NA,3,5,6,10,6,3,NA,6,NA,NA,NA,NA,19,11,7,21,14,18,18,19,11,7,31,18,NA,NA,NA,NA,0,1,0,0,5,0,0,0,4,0,NA,50,NA,NA,NA,NA
"64",1989-03-05,4,8,-1,10,7,7,9,7,9,0,23,4,NA,NA,NA,NA,18,15,9,14,17,23,19,21,16,4,31,12,NA,NA,NA,NA,0,2,0,0,2,0,0,0,0,0,NA,120,NA,NA,NA,NA
"65",1989-03-06,3,7,-3,13,9,11,8,8,7,-3,NA,2,NA,NA,NA,NA,19,17,7,NA,13,25,17,19,20,1,28,11,NA,NA,NA,NA,0,0,0,0,8,0,0,182,0,0,0,10,NA,NA,NA,NA
"66",1989-03-07,3,6,-3,13,6,12,8,9,7,-3,NA,1,NA,NA,NA,NA,20,11,8,15,9,24,17,14,14,1,30,7,NA,NA,NA,NA,0,186,0,0,0,0,1,56,278,0,NA,140,NA,NA,NA,NA
"67",1989-03-08,6,3,-5,13,-1,13,8,4,4,-3,NA,1,NA,NA,NA,NA,17,9,13,18,10,24,17,14,11,4,30,7,NA,NA,NA,NA,12,20,0,0,6,0,0,0,0,0,NA,50,NA,NA,NA,NA
"68",1989-03-09,1,3,-1,14,6,11,7,4,3,-1,NA,-1,NA,NA,NA,NA,20,10,15,18,11,23,19,17,13,7,30,9,NA,NA,NA,NA,0,0,0,0,14,0,0,0,0,0,NA,0,NA,NA,NA,NA
"69",1989-03-10,2,6,2,14,8,10,8,6,5,2,23,0,NA,NA,NA,NA,21,13,15,19,11,21,20,15,16,9,30,14,NA,NA,NA,NA,0,0,0,0,30,0,0,0,0,0,NA,0,NA,NA,NA,NA
"70",1989-03-11,7,4,3,15,6,11,9,5,6,5,NA,1,NA,NA,NA,NA,19,12,17,20,10,23,22,15,17,10,31,14,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"71",1989-03-12,4,0,6,16,1,11,10,8,8,6,23,3,NA,NA,NA,NA,23,12,21,22,10,24,22,19,17,12,32,17,NA,NA,NA,NA,0,9,0,0,14,0,0,90,1,0,NA,0,NA,NA,NA,NA
"72",1989-03-13,4,6,6,18,5,10,7,7,8,5,23,5,NA,NA,NA,NA,23,10,17,24,10,22,18,14,12,12,30,16,NA,NA,NA,NA,0,9,0,0,0,0,3,41,0,0,NA,75,NA,NA,NA,NA
"73",1989-03-14,5,5,7,NA,4,11,4,2,3,2,24,8,NA,NA,NA,NA,13,10,14,27,11,21,15,17,12,8,31,20,NA,NA,NA,NA,0,24,0,0,131,0,0,0,59,0,NA,5,NA,NA,NA,NA
"74",1989-03-15,2,4,2,18,6,9,6,6,6,2,24,5,NA,NA,NA,NA,19,10,14,22,8,22,19,18,14,9,32,16,NA,NA,NA,NA,0,40,0,0,35,0,0,0,58,0,0,0,NA,NA,NA,NA
"75",1989-03-16,5,2,2,19,4,11,7,8,10,2,NA,3,NA,NA,NA,NA,20,7,15,25,7,18,18,19,15,7,NA,14,NA,NA,NA,NA,0,90,0,NA,138,0,0,134,64,20,NA,0,NA,NA,NA,NA
"76",1989-03-17,7,0,1,NA,2,8,5,5,5,0,NA,3,NA,NA,NA,NA,14,7,14,21,9,19,12,12,8,8,NA,11,NA,NA,NA,NA,44,128,0,NA,5,0,136,22,68,0,NA,0,NA,NA,NA,NA
"77",1989-03-18,2,-2,4,17,-2,9,3,3,3,1,NA,2,NA,NA,NA,NA,7,8,11,19,12,22,12,12,11,10,32,12,NA,NA,NA,NA,94,0,0,NA,13,0,0,0,0,0,NA,0,NA,NA,NA,NA
"78",1989-03-19,3,5,3,18,4,9,3,1,3,1,23,2,NA,NA,NA,NA,6,10,12,22,12,26,15,13,13,12,32,13,NA,NA,NA,NA,64,0,0,0,18,0,0,50,0,0,NA,0,NA,NA,NA,NA
"79",1989-03-20,4,3,2,NA,3,13,4,6,2,5,24,4,NA,NA,NA,NA,16,9,12,20,11,27,17,14,10,12,31,14,NA,NA,NA,NA,0,4,0,0,64,0,0,22,24,0,NA,0,NA,NA,NA,NA
"80",1989-03-21,1,2,0,NA,1,12,7,8,4,3,NA,4,NA,NA,NA,NA,17,8,15,20,13,29,17,15,11,11,NA,16,NA,NA,NA,NA,0,38,0,NA,76,0,0,0,15,0,NA,0,NA,NA,NA,NA
"81",1989-03-22,3,5,4,15,3,10,7,6,8,2,23,4,NA,NA,NA,NA,19,12,14,17,12,25,21,19,14,13,32,11,NA,NA,NA,NA,0,17,0,NA,3,0,0,30,14,0,71,45,NA,NA,NA,NA
"82",1989-03-23,0,4,6,16,1,12,7,9,4,5,24,3,NA,NA,NA,NA,20,8,13,21,11,22,21,12,11,13,30,15,NA,NA,NA,NA,0,18,0,0,21,0,0,40,0,10,150,0,NA,NA,NA,NA
"83",1989-03-24,1,6,4,18,6,13,7,6,6,5,24,6,NA,NA,NA,NA,20,11,15,23,10,19,21,16,14,9,32,8,NA,NA,NA,NA,0,176,0,0,2,0,0,0,0,20,10,10,NA,NA,NA,NA
"84",1989-03-25,3,3,0,NA,2,12,10,10,10,2,NA,6,NA,NA,NA,NA,23,9,16,19,14,18,23,16,14,11,31,16,NA,NA,NA,NA,0,0,0,NA,0,86,0,0,4,0,0,20,NA,NA,NA,NA
"85",1989-03-26,7,3,7,NA,6,8,10,7,6,4,24,5,NA,NA,NA,NA,23,15,17,14,18,20,23,20,19,12,31,15,NA,NA,NA,NA,0,0,0,0,0,8,0,0,0,0,51,0,NA,NA,NA,NA
"86",1989-03-27,8,7,6,11,7,8,13,9,8,4,24,7,NA,NA,NA,NA,20,20,16,20,15,20,22,23,24,10,31,12,NA,NA,NA,NA,0,0,0,0,0,0,15,72,0,0,0,100,NA,NA,NA,NA
"87",1989-03-28,1,8,2,13,7,9,4,6,11,5,NA,5,NA,NA,NA,NA,14,21,19,23,16,23,13,13,21,11,NA,9,NA,NA,NA,NA,244,0,0,0,0,0,75,31,0,0,5,65,NA,NA,NA,NA
"88",1989-03-29,1,6,4,17,7,12,5,5,12,3,NA,4,NA,NA,NA,NA,10,14,20,22,16,25,20,15,24,12,32,16,NA,NA,NA,NA,169,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"89",1989-03-30,4,7,11,19,5,12,10,10,10,5,NA,3,NA,NA,NA,NA,13,15,21,22,18,27,15,15,21,13,31,16,NA,NA,NA,NA,10,0,0,0,0,0,7,1,46,80,20,0,NA,NA,NA,NA
"90",1989-03-31,4,3,11,19,3,12,8,12,12,6,NA,5,NA,NA,NA,NA,12,17,26,25,13,30,15,15,21,11,31,13,NA,NA,NA,NA,1,0,0,0,0,0,1,0,6,20,41,0,NA,NA,NA,NA
"91",1989-04-01,4,5,6,20,5,13,8,8,13,5,NA,5,NA,NA,NA,NA,18,12,21,25,11,26,17,17,20,14,NA,22,NA,NA,NA,NA,0,0,0,0,38,26,0,66,32,0,0,0,NA,NA,NA,NA
"92",1989-04-02,5,1,6,21,6,13,7,8,11,5,NA,6,NA,NA,NA,NA,20,8,23,28,9,26,16,13,14,14,NA,20,NA,NA,NA,NA,0,0,0,NA,54,0,0,64,0,0,NA,0,NA,NA,NA,NA
"93",1989-04-03,2,2,11,23,2,17,3,6,6,6,NA,9,NA,NA,NA,NA,10,8,20,27,7,28,8,10,10,14,NA,13,NA,NA,NA,NA,27,0,0,NA,0,0,45,400,49,0,140,15,NA,NA,NA,NA
"94",1989-04-04,2,0,6,NA,0,15,2,3,0,6,NA,9,NA,NA,NA,NA,8,5,20,25,4,38,10,10,6,17,NA,19,NA,NA,NA,NA,8,19,0,NA,64,0,6,188,57,0,0,0,NA,NA,NA,NA
"95",1989-04-05,2,3,10,20,0,17,2,3,4,7,NA,7,NA,NA,NA,NA,9,5,19,22,7,39,10,11,7,15,NA,13,NA,NA,NA,NA,0,3,0,NA,130,0,0,86,59,0,NA,0,NA,NA,NA,NA
"96",1989-04-06,3,3,6,NA,2,19,6,7,6,6,NA,4,NA,NA,NA,NA,14,6,17,21,8,41,15,16,10,19,NA,21,NA,NA,NA,NA,0,87,0,NA,34,0,5,15,12,0,NA,0,NA,NA,NA,NA
"97",1989-04-07,4,5,10,NA,2,19,6,6,3,8,NA,10,NA,NA,NA,NA,17,11,24,NA,11,37,13,13,13,16,NA,21,NA,NA,NA,NA,0,81,0,NA,10,0,80,0,4,0,NA,0,NA,NA,NA,NA
"98",1989-04-08,3,3,7,18,0,16,6,2,5,7,NA,10,NA,NA,NA,NA,20,11,27,20,13,35,16,16,14,17,NA,12,NA,NA,NA,NA,6,2,0,NA,0,0,100,16,0,0,NA,315,NA,NA,NA,NA
"99",1989-04-09,8,1,12,18,0,15,7,8,4,8,NA,11,NA,NA,NA,NA,15,14,21,20,12,27,14,16,15,15,NA,24,NA,NA,NA,NA,73,1,0,NA,13,0,2,33,8,0,NA,0,NA,NA,NA,NA
"100",1989-04-10,5,8,5,18,7,16,7,10,10,5,NA,12,NA,NA,NA,NA,15,15,21,22,13,23,15,14,15,10,NA,17,NA,NA,NA,NA,0,27,0,0,24,0,0,6,12,0,NA,75,NA,NA,NA,NA
"101",1989-04-11,5,8,6,19,6,15,8,8,6,7,NA,9,NA,NA,NA,NA,19,13,24,21,13,19,17,22,14,14,30,16,NA,NA,NA,NA,0,51,0,0,95,0,4,74,92,0,NA,55,NA,NA,NA,NA
"102",1989-04-12,7,4,7,19,4,15,8,7,8,6,NA,7,NA,NA,NA,NA,14,12,23,20,13,19,14,14,15,17,NA,16,NA,NA,NA,NA,22,1,0,0,123,0,10,184,10,0,NA,10,NA,NA,NA,NA
"103",1989-04-13,6,4,10,19,5,15,6,5,6,8,NA,9,NA,NA,NA,NA,16,13,22,23,12,24,15,13,13,22,28,23,NA,NA,NA,NA,0,0,0,NA,0,0,3,126,0,0,NA,0,NA,NA,NA,NA
"104",1989-04-14,4,7,10,NA,3,14,6,5,6,12,NA,9,NA,NA,NA,NA,14,9,20,22,13,22,15,13,13,16,NA,24,NA,NA,NA,NA,0,191,0,NA,0,0,0,4,2,0,NA,0,NA,NA,NA,NA
"105",1989-04-15,6,2,9,16,1,15,8,9,3,12,25,12,NA,NA,NA,NA,18,13,15,20,12,22,16,22,16,22,31,22,NA,NA,NA,NA,0,0,4,0,0,0,1,96,3,10,NA,5,NA,NA,NA,NA
"106",1989-04-16,4,4,5,18,6,14,5,6,8,9,NA,14,NA,NA,NA,NA,14,10,22,21,10,21,13,12,14,14,28,23,NA,NA,NA,NA,0,0,0,0,32,0,0,218,24,0,NA,105,NA,NA,NA,NA
